EmployeeID,Age,Gender,Department,JobRole,MonthlyIncome,YearsAtCompany,JobSatisfaction,WorkHoursPerWeek,DistanceFromHome,OverTime,WorkLifeBalance,AbsenteeismDays
1001,25,Male,IT,Developer,35000,2,3,45,8,Yes,2,12
1002,32,Female,HR,HR Executive,42000,5,4,40,5,No,4,5
1003,28,Male,Finance,Accountant,38000,3,2,48,15,Yes,2,14
1004,41,Female,Sales,Manager,65000,10,4,40,7,No,3,3
1005,35,Male,IT,Developer,52000,7,3,46,12,Yes,3,9
1006,29,Female,Marketing,Executive,40000,4,4,42,6,No,4,4
1007,45,Male,Finance,Senior Accountant,70000,12,2,50,20,Yes,2,16
1008,26,Female,IT,Tester,33000,1,3,44,10,No,3,7
1009,38,Male,Sales,Executive,48000,6,2,47,18,Yes,2,13
1010,31,Female,HR,Recruiter,39000,4,4,40,4,No,4,2
